id,title,authors,abstract,year,category,venue,citations
77,Analyzing the Security of Side-Channel in Federated Privacy Applications,"S. Goldwasser, L. Adleman","How can we scale side-channel and federated privacy to meet the demands of modern workloads? We argue that standard methods focusing on side-channel are insufficient due to physical constraints. We propose NeuroDB, which distributes computation using federated privacy. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2020,Cybersecurity,S&P (Oakland),61
9,Reinforcement Learning with Double Q-learning in Complex Environments,"A. Vaswani, I. Sutskever","The popular Q-learning algorithm is known to overestimate action values under certain conditions. In this paper, we show that double Q-learning can prevent these overestimations, leading to better policies and state-of-the-art performance on Atari games and robotic control systems.",2024,AI/ML,ACL,13
20,Resilient Distributed Datasets: A Fault-Tolerant Abstraction for In-Memory Computing,"J. Gray, M. Zaharia","We present Resilient Distributed Datasets (RDDs), a distributed memory abstraction that lets programmers perform in-memory computations on large clusters in a fault-tolerant manner. RDDs enable iterative algorithms in data mining and machine learning to run up to 100x faster than MapReduce.",2023,Data Engineering,ICDE,194
148,Securing 5G Communications in Smart Mqtt,"H. Balakrishnan, D. Estrin, V. Bahl","Recent advancements in 5G have enabled significant breakthroughs in 5G and mqtt. However, existing solutions suffer from high overhead and poor scalability when applied to mqtt. To overcome these limitations, we introduce SmartLink, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2020,Networks & IoT,MobiCom,57
84,Olap Architectures: A Survey of Indexing Systems,"J. Gray, M. Stonebraker, J. Dean","This work presents a comprehensive study of OLAP and indexing in the context of indexing. We evaluate different architectures and identify key bottlenecks associated with OLAP. Based on these findings, we design an adaptive protocol, FlexScale, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2022,Data Engineering,SIGMOD,252
61,Detecting Adversarial Attacks Anomalies in Zero Trust,"V. Shmatikov, M. Naor, S. Goldwasser","We investigate the integration of adversarial attacks and zero trust to solve adversarial attacks and zero trust. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, HyperGlove, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2021,Cybersecurity,S&P (Oakland),103
7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"I. Sutskever, J. Smith","Large pre-trained language models have been shown to store implicit knowledge, but their ability to access and precisely manipulate knowledge is still limited. We propose a hybrid framework combining a pre-trained retriever with a generator (RAG) to improve accuracy in open-domain question answering.",2023,AI/ML,ACL,63
146,Performance Analysis of 6G Protocols in Lorawan Networks,"J. Rexford, S. Shenker, H. Balakrishnan","This work presents a comprehensive study of 6G and loRaWAN in the context of loRaWAN. We evaluate different architectures and identify key bottlenecks associated with 6G. Based on these findings, we design an adaptive protocol, ApexDB, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2026,Networks & IoT,MobiCom,177
54,Exploring the Limits of Large Language Model in Transformer,"D. Silver, J. Smith","We investigate the integration of large language model and transformer to solve large language model and transformer. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, MetaGate, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2026,AI/ML,ACL,198
123,The Impact of Haptics on User Experience in User Experience,"J. Landay, P. Baudisch, M. Bernstein","Recent advancements in haptics have enabled significant breakthroughs in haptics and user experience. However, existing solutions suffer from high overhead and poor scalability when applied to user experience. To overcome these limitations, we introduce ParaGate, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2020,HCI,TOCHI,274
66,Analyzing the Security of Federated Privacy in Intrusion Detection Applications,"R. Rivest, L. Adleman","How can we scale federated privacy and intrusion detection to meet the demands of modern workloads? We argue that standard methods focusing on federated privacy are insufficient due to physical constraints. We propose HyperChain, which distributes computation using intrusion detection. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2021,Cybersecurity,S&P (Oakland),170
90,Raft Consensus Architectures: A Survey of Graph Database Systems,"M. Zaharia, S. Ghemawat","Recent advancements in Raft consensus have enabled significant breakthroughs in Raft consensus and graph database. However, existing solutions suffer from high overhead and poor scalability when applied to graph database. To overcome these limitations, we introduce VeloNet, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2021,Data Engineering,SIGMOD,166
81,Scaling Indexing for Large-scale Data Lake,"D. DeWitt, A. Halevy","We investigate the integration of indexing and data lake to solve indexing and data lake. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, ApexNet, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2022,Data Engineering,TODS,204
5,Graph Convolutional Networks for Semi-Supervised Classification,"Y. Bengio, I. Sutskever",We present a scalable approach for semi-supervised learning on graph-structured data that is based on an efficient variant of convolutional neural networks which operate directly on graphs. We motivate the choice of our convolutional architecture via a localized first-order approximation of spectral graph convolutions.,2024,AI/ML,CVPR,245
69,Mitigating Adversarial Attacks Vulnerabilities in Side-Channel Environments,"L. Adleman, R. Rivest","How can we scale adversarial attacks and side-channel to meet the demands of modern workloads? We argue that standard methods focusing on adversarial attacks are insufficient due to physical constraints. We propose ParaScale, which distributes computation using side-channel. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2025,Cybersecurity,IEEE TIFS,254
98,Evaluating Consensus in Partitioning for Nosql Pipelines,"M. Zaharia, J. Hellerstein, J. Gray","How can we scale partitioning and NoSQL to meet the demands of modern workloads? We argue that standard methods focusing on partitioning are insufficient due to physical constraints. We propose SmartSense, which distributes computation using NoSQL. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2021,Data Engineering,TODS,271
129,Securing Coap Communications in Smart Mqtt,"D. Estrin, J. Rexford","In this paper, we address the challenge of coap and mqtt. We propose a new system called ApexSense that leverages coap to improve efficiency and performance. Our framework optimizes mqtt in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 23% improvement in speed and accuracy.",2022,Networks & IoT,MobiCom,74
32,Edge Computing Architectures for Low-Latency IoT Applications,"D. Estrin, V. Bahl","Cloud computing introduces substantial latency for real-time IoT control loops. We present a multi-tier edge computing architecture that shifts computation and storage closer to the sensors, evaluating latency reductions and bandwidth savings in smart city video analytics.",2022,Networks & IoT,ACM CoNEXT,73
46,Optimizing Deep Learning Using Contrastive Learning Techniques,"A. Vaswani, A. Ng","We investigate the integration of deep learning and contrastive learning to solve deep learning and contrastive learning. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, NeuroGate, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2026,AI/ML,ACL,2
23,Spanner: Google's Globally-Distributed Database,"J. Gray, H. Garcia-Molina",Spanner is Google's globally-distributed database. It is the first system to distribute data globally and support externally-consistent distributed transactions. Spanner uses hardware GPS receivers and atomic clocks to ensure tight synchronization across datacenters.,2026,Data Engineering,ICDE,174
27,Eye Tracking for Hands-Free Desktop Navigation,"P. Baudisch, A. Dey","We present a hands-free desktop navigation system using eye tracking and blink-duration heuristics. We evaluate how visual feedback and dynamic dwell times can mitigate the 'Midas Touch' problem, where accidental fixations trigger unwanted click actions.",2022,HCI,DIS,339
